state,extraction_status,cms_fy2026_allotment,awards_old,awards_new,award_rows_new_id,documents_new_id,opportunities_new_id,activity_events_since_old_pull,cms_release_latest,on_routine,probe_without_routine,cms_release,exposed,rcj_signal_in_new_pull,old_pull,new_pull
TN,EXTRACTED,206888882,0,1,1,6,1,16,,TRUE,FALSE,FALSE,FALSE,TRUE,2026-08-27,2026-09-24
MS,EXTRACTED,205907220,3,173,171,10,3,15,2026-09-15,TRUE,FALSE,TRUE,FALSE,TRUE,2026-08-27,2026-09-24
WY,EXTRACTED,205004743,0,0,0,0,0,2,,TRUE,FALSE,FALSE,FALSE,FALSE,2026-08-27,2026-09-24
WI,INVESTIGATED_NO_LIST,203670005,21,21,0,2,0,31,,TRUE,FALSE,FALSE,FALSE,TRUE,2026-08-27,2026-09-24
OH,EXTRACTED,202030262,1,1,0,4,2,9,2026-08-26,TRUE,FALSE,TRUE,FALSE,TRUE,2026-08-27,2026-09-24
CO,INVESTIGATED_NO_LIST,200105604,4,12,8,3,0,45,,TRUE,FALSE,FALSE,FALSE,TRUE,2026-08-27,2026-09-24
SC,EXTRACTED,200030252,0,228,228,8,1,12,2026-09-17,TRUE,FALSE,TRUE,FALSE,TRUE,2026-08-27,2026-09-24
WV,EXTRACTED,199476099,4,12,8,33,2,32,2026-09-09,TRUE,FALSE,TRUE,FALSE,TRUE,2026-08-27,2026-09-24
ND,INVESTIGATED_NO_LIST,198936970,1,1,0,4,0,7,2026-08-20,TRUE,FALSE,TRUE,FALSE,TRUE,2026-08-27,2026-09-24
VT,EXTRACTED,195053740,1,13,12,6,1,77,2026-09-10,TRUE,FALSE,TRUE,FALSE,TRUE,2026-08-27,2026-09-24
ME,EXTRACTED,190008051,12,17,6,10,2,42,,TRUE,FALSE,FALSE,FALSE,TRUE,2026-08-27,2026-09-24
VA,EXTRACTED,189544888,1,1,0,17,4,36,2026-08-28,TRUE,FALSE,TRUE,FALSE,TRUE,2026-08-27,2026-09-24
SD,EXTRACTED,189477607,1,29,28,5,5,67,2026-08-19,TRUE,FALSE,TRUE,FALSE,TRUE,2026-08-27,2026-09-24
ID,EXTRACTED,185974368,1,1,0,13,0,73,,TRUE,FALSE,FALSE,FALSE,TRUE,2026-08-27,2026-09-24
WA,EXTRACTED,181257515,2,6,5,25,5,21,,TRUE,FALSE,FALSE,FALSE,TRUE,2026-08-27,2026-09-24
DE,EXTRACTED,157394964,15,18,11,1,0,95,,TRUE,FALSE,FALSE,FALSE,TRUE,2026-08-27,2026-09-24
CT,EXTRACTED,154249106,9,9,0,2,0,19,2026-09-17,TRUE,FALSE,TRUE,FALSE,TRUE,2026-08-27,2026-09-24
NJ,EXTRACTED,147250806,0,11,11,9,7,10,,TRUE,FALSE,FALSE,FALSE,TRUE,2026-08-27,2026-09-24
