state,file,row_index,awardee,amount,rural_class,designation,counts_as_rural,ccn,basis_type
GA,ga_great_health_awards.csv,70,Jefferson Hospital,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,71,Jenkins County Medical Center,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
GA,ga_great_health_awards.csv,72,Liberty Regional Medical Center,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
GA,ga_great_health_awards.csv,73,Memorial Hospital And Manor,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,74,Miller County Hospital,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
GA,ga_great_health_awards.csv,75,Monroe County Hospital,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
GA,ga_great_health_awards.csv,76,Morgan Medical Center,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
GA,ga_great_health_awards.csv,77,Mountain Lakes Medical Center,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
GA,ga_great_health_awards.csv,78,Northeast Georgia Medical Center Habersham,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,79,Northeast Georgia Medical Center Lumpkin,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,80,"Northeast Georgia Medical Center, Inc",750000,STATE_SOURCE_RURAL,GA roster: RRC,TRUE,,
GA,ga_great_health_awards.csv,81,Phoebe Putney Memorial Hospital,750000,STATE_SOURCE_RURAL,GA roster: RRC,TRUE,,
GA,ga_great_health_awards.csv,82,Phoebe Sumter Medical Center,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,83,Phoebe Worth Medical Center,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
GA,ga_great_health_awards.csv,84,Piedmont Mcduffie Hospital,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,85,Piedmont Mountainside Hospital Inc,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,86,Piedmont Walton,750000,STATE_SOURCE_RURAL,GA roster: In 126 Rural/Partial Rural Counties,TRUE,,
GA,ga_great_health_awards.csv,87,Putnam General Hospital,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
GA,ga_great_health_awards.csv,88,"Redmond Park Hospital, LLC d/b/a Adventhealth Redmond",750000,STATE_SOURCE_RURAL,GA roster: RRC,TRUE,,
GA,ga_great_health_awards.csv,89,Screven County Hospital d/b/a Optim Medical Center - Screven,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
GA,ga_great_health_awards.csv,90,SGMC Health Berrien,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,91,SGMC Health Lanier,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
GA,ga_great_health_awards.csv,92,"South Georgia Medical Center, Inc. d/b/a SGMC Health",750000,STATE_SOURCE_RURAL,GA roster: RRC,TRUE,,
GA,ga_great_health_awards.csv,93,Southeast Georgia Health System- Brunswick Campus,750000,STATE_SOURCE_RURAL,GA roster: RRC,TRUE,,
GA,ga_great_health_awards.csv,94,Southeast Georgia Health System- Camden Campus,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,95,St Joseph's Hospital - Savannah,750000,STATE_SOURCE_RURAL,GA roster: RRC,TRUE,,
GA,ga_great_health_awards.csv,96,St Mary's Good Samaritan Hospital,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
GA,ga_great_health_awards.csv,97,St Mary's Hospital,750000,STATE_SOURCE_RURAL,GA roster: RRC,TRUE,,
GA,ga_great_health_awards.csv,98,"St Mary's Sacred Heart Hospital, Inc",750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,99,Stephens County Hospital,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,100,Tanner Medical Center Carrollton,750000,STATE_SOURCE_RURAL,GA roster: In 126 Rural/Partial Rural Counties,TRUE,,
GA,ga_great_health_awards.csv,101,Tanner Medical Center Villa Rica,750000,STATE_SOURCE_RURAL,GA roster: In 126 Rural/Partial Rural Counties,TRUE,,
GA,ga_great_health_awards.csv,102,Taylor Regional Hospital,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,103,Tift Regional Medical Center,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,104,Union General Hospital,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,105,Upson Regional Medical Center,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,106,Warm Springs Medical Center,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
GA,ga_great_health_awards.csv,107,Washington County Regional Medical Center,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,108,Wayne Memorial Hospital,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,109,Wellstar MCG Health Medical Center,750000,STATE_SOURCE_RURAL,GA roster: RRC,TRUE,,
GA,ga_great_health_awards.csv,110,Wellstar Spalding Regional Hospital,750000,STATE_SOURCE_RURAL,GA roster: In 126 Rural/Partial Rural Counties,TRUE,,
GA,ga_great_health_awards.csv,111,Wellstar Sylvan Grove Medical Center,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
