queue_rank,state,state_name,trigger_source,queue_status,rcj_tier3_candidates,rcj_distinct_awardees,rcj_federal_amount_sum,cms_announced_date,cms_source,cms_release_url,cms_fy2026_allotment,extraction_status,first_queued
17,MD,Maryland,RCJ_ONLY,EXTRACTED,42,41,84925071,,,,168180838,EXTRACTED,2026-08-28
18,NE,Nebraska,RCJ_ONLY,EXTRACTED,39,35,8446843.67,,,,218529075,EXTRACTED,2026-08-28
19,IN,Indiana,BOTH,EXTRACTED,37,28,162727393.12,2026-09-03,CMS_NEWSROOM,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-120-million-expand-maternal-infant-health-services-increase-primary,206927897,EXTRACTED,2026-08-28
20,OK,Oklahoma,RCJ_ONLY,EXTRACTED,35,25,231614376.02,,,,223476949,EXTRACTED,2026-08-28
21,NV,Nevada,RCJ_ONLY,EXTRACTED,34,34,131643055,,,,179931608,EXTRACTED,2026-08-28
22,MI,Michigan,RCJ_ONLY,EXTRACTED,31,31,30848878,,,,173128201,EXTRACTED,2026-08-28
23,MO,Missouri,RCJ_ONLY,EXTRACTED,29,29,7232027,,,,216276818,EXTRACTED,2026-08-28
24,NH,New Hampshire,RCJ_ONLY,EXTRACTED,23,15,2260662942,,,,204016550,EXTRACTED,2026-08-28
25,IA,Iowa,RCJ_ONLY,EXTRACTED,15,15,5,,,,209040064,EXTRACTED,2026-08-28
26,ME,Maine,RCJ_ONLY,EXTRACTED,12,12,12000011,,,,190008051,EXTRACTED,2026-08-28
27,DE,Delaware,RCJ_ONLY,EXTRACTED,5,5,11500004,,,,157394964,EXTRACTED,2026-08-28
28,ID,Idaho,RCJ_ONLY,EXTRACTED,1,1,1,,,,185974368,EXTRACTED,2026-08-28
29,IL,Illinois,RCJ_ONLY,EXTRACTED,1,1,1,,,,193418216,EXTRACTED,2026-08-28
30,OH,Ohio,BOTH,EXTRACTED,1,1,10000000,2026-08-26,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-3-15-million-expand-pharmacy-connectivity-throughout-rural-ohio,202030262,EXTRACTED,2026-08-28
31,SD,South Dakota,BOTH,EXTRACTED,1,1,31500000,2026-08-19,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-90-million-modernize-improve-it-interoperability-south-dakota,189477607,EXTRACTED,2026-08-28
32,AR,Arkansas,CMS_ONLY,EXTRACTED,0,0,0,2026-08-31,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-149-3-million-expand-telehealth-increase-access-specialty-care,208779396,EXTRACTED,2026-09-03
33,FL,Florida,NEITHER,EXTRACTED,0,0,0,,,,209938195,EXTRACTED,2026-08-28
34,NC,North Carolina,NEITHER,EXTRACTED,0,0,0,,,,213008356,EXTRACTED,2026-09-02
35,WY,Wyoming,NEITHER,EXTRACTED,0,0,0,,,,205004743,EXTRACTED,2026-09-03
36,TX,Texas,RCJ_ONLY,INVESTIGATED_NO_LIST,68,67,352864058.3,,,,281319361,INVESTIGATED_NO_LIST,2026-08-28
37,WI,Wisconsin,RCJ_ONLY,INVESTIGATED_NO_LIST,19,19,100139403,,,,203670005,INVESTIGATED_NO_LIST,2026-08-28
38,CA,California,RCJ_ONLY,INVESTIGATED_NO_LIST,11,8,5475000,,,,233639308,INVESTIGATED_NO_LIST,2026-08-28
39,CT,Connecticut,RCJ_ONLY,INVESTIGATED_NO_LIST,7,6,49854129,,,,154249106,INVESTIGATED_NO_LIST,2026-08-28
40,NM,New Mexico,RCJ_ONLY,INVESTIGATED_NO_LIST,7,7,7,,,,211484741,INVESTIGATED_NO_LIST,2026-08-28
41,LA,Louisiana,RCJ_ONLY,INVESTIGATED_NO_LIST,6,6,53910000,,,,208374448,INVESTIGATED_NO_LIST,2026-08-28
42,MS,Mississippi,RCJ_ONLY,INVESTIGATED_NO_LIST,3,3,50150000,,,,205907220,INVESTIGATED_NO_LIST,2026-08-28
43,HI,Hawaii,CMS_ONLY,INVESTIGATED_NO_PROBE,0,0,0,2026-09-01,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-58-million-deliver-new-ambulances-upgrade-emergency-communications-0,188892440,INVESTIGATED_NO_PROBE,2026-09-03
44,KY,Kentucky,NEITHER,INVESTIGATED_NO_LIST,0,0,0,,,,212905591,INVESTIGATED_NO_LIST,2026-09-02
45,MA,Massachusetts,NEITHER,INVESTIGATED_NO_PROBE,0,0,0,,,,162005238,INVESTIGATED_NO_PROBE,2026-09-03
46,MN,Minnesota,NEITHER,INVESTIGATED_NO_PROBE,0,0,0,,,,193090618,INVESTIGATED_NO_PROBE,2026-09-03
47,NJ,New Jersey,NEITHER,INVESTIGATED_NO_PROBE,0,0,0,,,,147250806,INVESTIGATED_NO_PROBE,2026-09-03
48,NY,New York,NEITHER,INVESTIGATED_NO_LIST,0,0,0,,,,212058208,INVESTIGATED_NO_LIST,2026-09-02
49,SC,South Carolina,NEITHER,INVESTIGATED_NO_PROBE,0,0,0,,,,200030252,INVESTIGATED_NO_PROBE,2026-09-03
50,TN,Tennessee,NEITHER,INVESTIGATED_NO_PROBE,0,0,0,,,,206888882,INVESTIGATED_NO_PROBE,2026-09-03
